Moon's age,Births
0,1362138
1,1364314
2,1362593
3,1363159
4,1365264
5,1360797
6,1358932
7,1360271
8,1356851
9,1358614
10,1357273
11,1359521
12,1357709
13,1356773
14,1364029
15,1365833
16,1368387
17,1361971
18,1359499
19,1360301
20,1358631
21,1360425
22,1360505
23,1362161
24,1362601
25,1358914
26,1358368
27,1357214
28,1356145
29,716128
30,0
