Moon's age,Births
0,1289376
1,1289342
2,1288396
3,1288245
4,1290743
5,1286714
6,1285834
7,1287894
8,1283788
9,1284687
10,1283265
11,1286501
12,1284953
13,1283231
14,1292072
15,1292902
16,1294149
17,1288767
18,1286574
19,1286460
20,1285354
21,1287373
22,1287397
23,1288442
24,1289505
25,1286020
26,1285156
27,1283725
28,1283121
29,679247
30,0
